,Unnamed: 0,city,country,Meal_InexpensiveRestaurant,Meal_MidRangeRestaurant,McMeal_McDonalds,DomesticBeer_Restaurant,ImportedBeer_Restaurant,Cappuccino_Restaurant,CokePepsi_Restaurant,Water_Restaurant,Milk,LoafOfBread,Rice,Eggs,LocalCheese,ChickenFillets,BeefRound,Apples,Banana,Oranges,Tomato,Potato,Onion,Lettuce,Water_Market,Wine_MidRange,DomesticBeer_Market,ImportedBeer_Market,Cigarettes,OneWayTicket_LocalTransport,MonthlyPass_RegularPrice,TaxiStart,Taxi1km,Taxi1hourWaiting,Gasoline,VolkswagenGolf,ToyotaCorolla,Utilities_Monthly,MobileTariff_Local,Internet,FitnessClub_Monthly,TennisCourtRent,Cinema_InternationalRelease,Preschool_Monthly,InternationalPrimarySchool_Yearly,Jeans,SummerDress,NikeRunningShoes,MenLeatherShoes,Apartment1Bedroom_CityCentre,Apartment1Bedroom_OutsideCentre,Apartment3Bedrooms_CityCentre,Apartment3Bedrooms_OutsideCentre,PricePerSquareMeter_CityCentre,PricePerSquareMeter_OutsideCentre,AverageMonthlyNetSalary,MortgageInterestRate,data_quality,latitude,longitude,country_id,flag_emoji,meals_out,groceries,transportation,household,internet,leisure,sports,clothing,rent,TotalMonthlyBudget,MonthlySavings,SavingToSalaryRatio,RentToSalaryRatio,meals_out,groceries,transportation,household,internet,leisure,sports,clothing,rent,meals_out,groceries,transportation,household,internet,leisure,sports,clothing,rent
0,32,Paris,France,14.606430155210644,58.40724316334072,9.73762010347376,6.818181818181818,5.838876570583888,3.5938654841093864,2.6607538802660757,2.2542498152254247,1.1456023651145602,1.949371766444937,2.115668883961567,3.3906134515890614,16.177014042867704,12.01958610495196,21.36917960088692,2.937915742793792,1.9678492239467849,2.633037694013304,3.5846267553584625,2.1249076127124904,2.087952697708795,1.4135254988913526,0.7852919438285292,7.788248337028825,1.949371766444937,2.799334811529933,10.218033998521804,1.8477457501847745,73.01367331855137,4.86881005173688,1.7738359201773837,44.299704360679975,1.9678492239467849,21417.581300813006,26498.179970436067,184.2572062084257,0.1662971175166297,28.972653362897265,34.830007390983,13.082039911308204,12.16740576496674,713.9227642276422,15993.652993348114,95.95343680709534,39.28307464892831,86.48373983739837,125.7390983000739,1261.2620103473762,928.0949741315596,2796.6740576496672,1908.6566888396155,12050.61899482631,8536.252771618625,2542.8122690317814,1.5613451589061345,1,48.8588897,2.320041,FRA,🇫🇷,175.24020694752403,258.0376940133038,44.34589800443459,184.2572062084257,28.972653362897265,161.43754619364378,26.164079822616408,135.23651145602366,928.0949741315596,5825.360310421286,-1340.7612712490763,-52.727497329545045,36.49876105423022,175.24020694752403,258.0376940133038,44.34589800443459,184.2572062084257,28.972653362897265,161.43754619364378,26.164079822616408,135.23651145602366,928.0949741315596,175.24020694752403,258.0376940133038,44.34589800443459,184.2572062084257,28.972653362897265,161.43754619364378,26.164079822616408,135.23651145602366,928.0949741315596
1,80,Madrid,Spain,11.677753141167775,48.67886178861788,7.788248337028825,3.409090909090909,3.409090909090909,2.0602365114560235,2.17110125646711,1.5428677014042866,0.8314855875831486,1.0070214338507022,1.1271249076127123,2.263488543976349,9.857723577235772,6.882852919438285,11.012564671101256,1.9955654101995568,1.7738359201773837,1.653732446415373,1.7738359201773837,1.1178861788617886,1.2749445676274944,0.9793052475979306,0.6651884700665188,4.86881005173688,0.9515890613451587,1.4689578713968958,4.86881005173688,1.459719142645972,53.10421286031042,3.409090909090909,1.071692535107169,21.415373244641536,1.8569844789356984,24338.165188470062,23470.842572062083,153.43680709534368,0.1662971175166297,35.19955654101996,40.25314116777531,11.2620103473762,8.758314855875831,475.2032520325203,8859.090909090908,71.19364375461936,32.73281596452328,73.24464153732447,89.82815964523282,975.739098300074,775.5728011825573,1675.369549150037,1210.8462675535843,5185.365853658537,3436.9456762749446,1930.469327420547,2.115668883961567,1,40.4167047,-3.7035825,ESP,🇪🇸,144.06873614190687,156.87361419068736,42.12860310421286,153.43680709534368,35.19955654101996,108.90613451589061,22.5240206947524,103.92645971914264,775.5728011825573,4627.910199556542,-1154.8041389504806,-59.8198646592073,40.175349598476224,144.06873614190687,156.87361419068736,42.12860310421286,153.43680709534368,35.19955654101996,108.90613451589061,22.5240206947524,103.92645971914264,775.5728011825573,144.06873614190687,156.87361419068736,42.12860310421286,153.43680709534368,35.19955654101996,108.90613451589061,22.5240206947524,103.92645971914264,775.5728011825573
2,120,Barcelona,Spain,13.627124907612712,58.40724316334072,8.758314855875831,2.919438285291944,3.409090909090909,2.17110125646711,2.032520325203252,1.404286770140429,0.9238728750923872,1.3858093126385809,1.247228381374723,2.4205469327420546,11.382113821138212,6.882852919438285,11.086474501108649,1.9124168514412412,1.8385070214338504,1.6814486326681448,2.1341463414634148,1.293422025129342,1.4135254988913526,0.9885439763488544,0.7483370288248338,5.838876570583888,1.071692535107169,1.5798226164079825,4.86881005173688,2.3373983739837394,38.94124168514412,2.919438285291944,1.949371766444937,23.364745011086477,1.8939393939393936,24337.19512195122,24788.12823355506,157.84368070953437,0.212490761271249,37.09349593495935,42.29490022172949,22.625646711012564,8.758314855875831,478.64929785661496,10536.077235772358,71.33222468588322,30.312269031781227,76.37657058388766,98.46637102734664,1001.219512195122,786.3174427198817,1661.3266814486326,1276.1548410938651,4714.634146341463,2938.008130081301,1827.6330376940127,1.949371766444937,1,41.3828939,2.1774322,ESP,🇪🇸,171.3229859571323,179.32372505543236,44.25351071692535,157.84368070953437,37.09349593495935,103.60310421286032,45.25129342202513,101.64449371766445,786.3174427198817,4879.961197339245,-1425.6744271988177,-78.00660186125985,43.02381421776033,171.3229859571323,179.32372505543236,44.25351071692535,157.84368070953437,37.09349593495935,103.60310421286032,45.25129342202513,101.64449371766445,786.3174427198817,171.3229859571323,179.32372505543236,44.25351071692535,157.84368070953437,37.09349593495935,103.60310421286032,45.25129342202513,101.64449371766445,786.3174427198817
3,144,Berlin,Germany,11.677753141167775,58.40724316334072,8.758314855875831,3.88950480413895,3.88950480413895,3.113451589061345,2.328159645232816,1.8015521064301552,1.0994087213599408,1.5705838876570584,2.245011086474501,2.7623798965262383,11.723946784922394,9.11862527716186,13.331485587583147,2.485218033998521,1.6814486326681448,2.355875831485587,2.928677014042868,1.8477457501847745,1.3858093126385809,1.3118994826311898,0.6374722838137472,5.450849963045085,1.0439763488543976,1.4689578713968958,7.788248337028825,2.919438285291944,82.75129342202511,3.88950480413895,2.097191426459719,32.12305986696231,1.9955654101995568,29176.58906134516,26002.77161862528,284.830007390983,0.1016260162601626,37.17664449371767,37.48152254249816,18.579083518107907,11.677753141167775,176.5151515151515,8112.721729490021,81.65188470066518,34.23872875092388,78.97265336289726,101.8569844789357,1221.2675535846267,893.5421286031042,2260.7446415373247,1604.6286031042127,7949.344050258685,5247.31152993348,2917.636733185513,2.0140428677014044,1,52.510885,13.3989367,DEU,🇩🇪,163.52549889135256,230.32150776053217,42.96008869179601,284.830007390983,37.17664449371767,119.17960088691797,37.158167036215815,115.89061345158906,893.5421286031042,5773.752771618624,-931.5317812269041,-31.92761355900005,30.62554424407467,163.52549889135256,230.32150776053217,42.96008869179601,284.830007390983,37.17664449371767,119.17960088691797,37.158167036215815,115.89061345158906,893.5421286031042,163.52549889135256,230.32150776053217,42.96008869179601,284.830007390983,37.17664449371767,119.17960088691797,37.158167036215815,115.89061345158906,893.5421286031042
4,172,Rome,Italy,15.086844050258682,68.14486326681448,8.758314855875831,4.86881005173688,4.86881005173688,1.3858093126385809,1.9308943089430888,1.0624538063562452,1.4874353288987436,1.459719142645972,2.0509977827051,3.31670362158167,15.31781226903178,9.192535107169252,14.643385070214338,2.217294900221729,1.7553584626755356,2.217294900221729,2.5036954915003693,1.4874353288987436,1.459719142645972,1.0624538063562452,0.4896526237989653,6.3285291943828526,1.450480413895048,2.2357723577235773,5.838876570583888,1.459719142645972,34.07243163340724,4.379157427937916,1.071692535107169,29.20362158167036,1.9124168514412412,24338.165188470062,26472.9674796748,182.769770879527,0.1847745750184774,27.03252032520325,48.706577974870655,17.44271988174427,8.758314855875831,448.56799704360674,8282.621951219513,77.72542498152254,33.739837398373986,89.1260162601626,106.68883961566888,988.821138211382,672.6164079822615,2110.467479674797,1264.0151515151515,6582.889874353288,3312.9065040650403,1459.3588322246858,1.8385070214338504,1,41.8933203,12.4829321,ITA,🇮🇹,196.6371027346637,249.44567627494456,43.79157427937914,182.769770879527,27.03252032520325,139.25535846267553,34.88543976348854,111.46526237989653,672.6164079822615,4973.6973392461205,-1856.4393939393938,-127.20924785231797,46.08985762308417,196.6371027346637,249.44567627494456,43.79157427937914,182.769770879527,27.03252032520325,139.25535846267553,34.88543976348854,111.46526237989653,672.6164079822615,196.6371027346637,249.44567627494456,43.79157427937914,182.769770879527,27.03252032520325,139.25535846267553,34.88543976348854,111.46526237989653,672.6164079822615
5,248,Vienna,Austria,14.606430155210644,58.40724316334072,8.758314855875831,4.379157427937916,3.991130820399113,3.5938654841093864,2.799334811529933,2.180339985218034,1.2564671101256468,1.8477457501847745,1.7923133776792313,3.3998521803399853,10.818551367331857,10.070214338507022,15.262379896526236,2.263488543976349,1.6906873614190687,2.45750184774575,2.882483370288248,1.6075388026607538,1.3580931263858091,1.4689578713968958,0.646711012564671,5.838876570583888,1.0070214338507022,1.376570583887657,5.838876570583888,2.3373983739837394,32.12305986696231,3.88950480413895,1.6629711751662972,27.060236511456026,1.875461936437546,22838.932002956397,18913.79342202513,200.0646711012565,0.0646711012564671,31.550258684405023,27.45750184774575,19.835550628233552,11.437546193643756,256.59645232815967,11025.184774575018,89.33850702143386,32.65890613451589,86.67775314116777,118.28344419807834,921.3784183296376,642.6459719142646,1887.019586104952,1247.1729490022174,8608.786031042127,5398.900591278641,2527.180339985218,1.9401330376940131,1,48.2083537,16.3725042,AUT,🇦🇹,175.24020694752403,248.89135254988915,39.44937176644493,200.0646711012565,31.550258684405023,116.019955654102,39.671101256467104,121.99741315594974,642.6459719142646,4846.590909090909,-703.8802660753881,-27.852395610180526,25.429367336643004,175.24020694752403,248.89135254988915,39.44937176644493,200.0646711012565,31.550258684405023,116.019955654102,39.671101256467104,121.99741315594974,642.6459719142646,175.24020694752403,248.89135254988915,39.44937176644493,200.0646711012565,31.550258684405023,116.019955654102,39.671101256467104,121.99741315594974,642.6459719142646
6,256,Bucharest,Romania,9.885439763488543,39.560236511456026,5.339985218033998,1.9770879526977088,2.374353288987435,2.4113082039911307,1.7276422764227644,1.4966740576496675,1.4320029563932002,0.9238728750923872,1.5059127864005912,2.531411677753141,6.753510716925351,5.580192165558019,8.87841832963784,0.9515890613451587,1.3396156688839616,1.284183296378418,1.5521064301552103,0.6929046563192904,0.7021433850702143,0.6929046563192904,0.582039911308204,5.931263858093126,0.8222468588322247,1.3118994826311898,4.74870657797487,0.5912786400591279,15.825942350332593,0.5543237250554324,0.5358462675535846,5.737250554323725,1.6167775314116777,20210.744641537323,21368.38507021434,109.83924611973391,0.0739098300073909,7.73281596452328,42.21175166297117,16.759053954175904,6.919807834441981,441.140059127864,7913.118994826312,67.30413895048041,36.61308203991131,68.08943089430895,85.47671840354766,434.4235033259424,310.60606060606057,821.350702143385,525.9238728750923,2334.3218773096823,1422.949002217295,876.6260162601626,5.94050258684405,1,44.4361414,26.1027202,ROU,🇷🇴,118.66223207686622,191.7960088691796,34.55284552845528,109.83924611973391,7.73281596452328,85.70768662232076,33.51810790835181,103.91722099039171,310.60606060606057,2988.996674057649,-1116.0384331116038,-127.31066753788755,35.43199207470016,118.66223207686622,191.7960088691796,34.55284552845528,109.83924611973391,7.73281596452328,85.70768662232076,33.51810790835181,103.91722099039171,310.60606060606057,118.66223207686622,191.7960088691796,34.55284552845528,109.83924611973391,7.73281596452328,85.70768662232076,33.51810790835181,103.91722099039171,310.60606060606057
7,257,Hamburg,Germany,13.627124907612712,58.40724316334072,8.758314855875831,4.379157427937916,3.88950480413895,3.31670362158167,2.586844050258684,2.1249076127124904,1.090169992609017,2.1988174427198817,2.097191426459719,3.464523281596452,11.18810051736881,8.314855875831485,13.100517368810053,2.7439024390243905,1.6999260901699926,2.1249076127124904,1.9031781226903175,1.3488543976348857,0.9053954175905397,1.1271249076127123,0.6559497413155949,6.818181818181818,0.6651884700665188,1.3211382113821135,7.29859571322986,3.178122690317812,89.56023651145603,3.991130820399113,1.9124168514412412,33.00073909830007,2.069475240206948,25759.51589061345,33811.9733924612,265.28085735402806,0.1108647450110864,34.87620103473762,51.14560236511456,29.08351810790835,14.606430155210644,564.6433850702143,22808.342572062083,85.20879526977087,40.99223946784922,100.35107169253511,140.2439024390244,1026.6260162601625,780.3584626755357,1941.648189209165,1487.6662971175165,8553.122690317812,5486.520694752402,2923.1614929785665,1.829268292682927,1,53.550341,10.000654,DEU,🇩🇪,171.3229859571323,265.52106430155214,44.71544715447155,265.28085735402806,34.87620103473762,146.0458240946046,58.1670362158167,126.20103473762009,780.3584626755357,5677.466740576495,-861.8163340724304,-29.48233739882361,26.695701368191827,171.3229859571323,265.52106430155214,44.71544715447155,265.28085735402806,34.87620103473762,146.0458240946046,58.1670362158167,126.20103473762009,780.3584626755357,171.3229859571323,265.52106430155214,44.71544715447155,265.28085735402806,34.87620103473762,146.0458240946046,58.1670362158167,126.20103473762009,780.3584626755357
8,266,Brussels,Belgium,14.606430155210644,68.14486326681448,8.758314855875831,4.86881005173688,4.86881005173688,3.0857354028085733,2.3373983739837394,2.374353288987435,1.034737620103474,1.8939393939393936,1.829268292682927,2.845528455284553,13.543976348854397,9.2110125646711,15.992239467849222,2.2080561714708056,1.4966740576496675,2.309682187730968,2.4390243902439024,1.3118994826311898,1.1363636363636362,1.376570583887657,0.9238728750923872,7.788248337028825,2.041759053954176,3.07649667405765,7.29859571322986,2.3373983739837394,48.67886178861788,4.767184035476719,1.949371766444937,29.20362158167036,1.829268292682927,24338.165188470062,26022.366962305987,191.9807834441981,0.2494456762749445,47.87509238728751,30.025868440502585,21.79416112342941,11.677753141167775,820.5469327420547,21670.70399113082,77.4390243902439,27.84552845528455,84.70066518847007,114.9759793052476,909.9501108647448,750.9053954175905,1585.966371027347,1396.239837398374,3779.9611973392457,3168.3850702143386,2584.9963045085,1.515151515151515,1,50.8465573,4.351697,BEL,🇧🇪,194.71544715447155,228.1042128603104,44.06873614190687,191.9807834441981,47.87509238728751,126.41352549889133,43.58832224685882,105.28455284552845,750.9053954175905,5198.808203991131,-880.8758314855872,-34.07648320228733,29.04860614724803,194.71544715447155,228.1042128603104,44.06873614190687,191.9807834441981,47.87509238728751,126.41352549889133,43.58832224685882,105.28455284552845,750.9053954175905,194.71544715447155,228.1042128603104,44.06873614190687,191.9807834441981,47.87509238728751,126.41352549889133,43.58832224685882,105.28455284552845,750.9053954175905
9,267,Warsaw,Poland,7.289356984478935,41.6389504804139,5.829637841832963,2.919438285291944,2.919438285291944,2.7439024390243905,1.2564671101256468,1.1917960088691797,0.729859571322986,0.9146341463414632,1.237989652623799,2.309682187730968,6.910569105691057,5.182926829268292,9.645232815964524,0.8130081300813008,1.2102734663710273,1.441241685144124,2.097191426459719,0.6836659275683665,0.7021433850702143,0.9331116038433112,0.4988913525498891,6.245380635624538,0.9053954175905397,1.293422025129342,3.750923872875092,0.9146341463414632,22.90280857354028,1.6629711751662972,0.6282335550628234,8.32409460458241,1.5336289726533627,21424.57501847745,20575.785291943823,183.84146341463412,0.0554323725055432,12.426090169992609,27.937915742793788,15.447154471544714,6.245380635624538,367.5351071692535,10385.10716925351,69.19807834441981,30.62638580931264,71.22135994087213,85.14412416851441,732.7050997782706,569.1611234294161,1354.8041389504804,1026.0809312638582,4129.656319290465,2653.5753880266075,1188.2945306725794,7.400221729490021,1,52.2337172,21.0714322,POL,🇵🇱,112.43532889874353,155.76496674057648,32.33555062823355,183.84146341463412,12.426090169992609,84.22025129342201,30.894308943089428,99.82446415373245,569.1611234294161,3842.710643015521,-1373.512564671101,-115.58687928098831,47.89731070353986,112.43532889874353,155.76496674057648,32.33555062823355,183.84146341463412,12.426090169992609,84.22025129342201,30.894308943089428,99.82446415373245,569.1611234294161,112.43532889874353,155.76496674057648,32.33555062823355,183.84146341463412,12.426090169992609,84.22025129342201,30.894308943089428,99.82446415373245,569.1611234294161
